name,H,DeltaT,L,p1,p2,Deltap,T0,lambda1,lambda2
hydrogen,2.307,101.43,16.965,-202.91,233.63,436.54,300,0.12489,0.17088
hydrogen,2.9246,102.93,15.289,-134.76,156.98,291.74,300,0.12539,0.17116
hydrogen,3.0051,138.69,24.136,-181.64,225.74,407.38,300,0.1251,0.18975
hydrogen,2.6875,122.57,23.565,-194.37,232.36,426.73,300,0.12478,0.18178
hydrogen,3.7812,139.26,12.084,-99.767,156.28,256.047,300,0.12804,0.18705
hydrogen,2.9573,104.27,20.66,-136.86,160.42,297.28,300,0.12478,0.17248
hydrogen,3.8345,106.1,15.735,-79.213,107.42,186.633,300,0.12587,0.1723
hydrogen,3.9961,111.12,21.419,-80.212,107.38,187.592,300,0.12524,0.17551
hydrogen,3.3812,106.77,12.55,-99.562,130.64,230.202,300,0.12636,0.17213
hydrogen,2.2835,111.46,13.032,-225,258.74,483.74,300,0.12572,0.1751
hydrogen,2.7724,107.75,11.51,-150.64,177.26,327.9,300,0.12628,0.17268
hydrogen,3.4982,125.52,10.899,-113.03,143.35,256.38,300,0.12776,0.18029
hydrogen,2.4438,114.62,20.081,-212.35,248.23,460.58,300,0.12487,0.17761
hydrogen,3.207,142.95,10,-152.18,193.49,345.67,300,0.12864,0.18831
hydrogen,2.8144,124.49,17.76,-179.35,214.61,393.96,300,0.12546,0.18206
hydrogen,2.1769,148.44,19.149,-343.71,410.89,754.6,300,0.12552,0.19421
hydrogen,2.2102,120.16,16.475,-263.24,305.32,568.56,300,0.12532,0.17994
hydrogen,2.6343,109.14,24.533,-178.65,208.3,386.95,300,0.12449,0.17524
hydrogen,3.6452,146.25,22.001,-134.91,172.14,307.05,300,0.12575,0.193
hydrogen,2.5767,137.08,18.076,-232.49,282.04,514.53,300,0.12558,0.18836
hydrogen,2.8839,133.41,12.885,-180.11,217.45,397.56,300,0.12675,0.18529
hydrogen,3.1332,143.77,18.677,-172.99,215.77,388.76,300,0.12591,0.19152
hydrogen,3.6809,128.14,18.604,-108.19,146.36,254.55,300,0.12586,0.18356
hydrogen,3.4135,113.03,17.387,-111.52,138.39,249.91,300,0.12554,0.17615
hydrogen,3.1793,129.88,21.108,-152.97,185.73,338.7,300,0.12531,0.18501
hydrogen,2.1093,131.01,20.256,-317.28,372.42,689.7,300,0.12507,0.18573
hydrogen,3.2583,116.04,21.714,-127.21,157.29,284.5,300,0.12501,0.17824
hydrogen,2.5049,147.42,10.41,-252.49,303.94,556.43,300,0.12783,0.19132
hydrogen,3.7443,119.89,14.243,-97.25,125.26,222.51,300,0.12658,0.17861
hydrogen,2.452,126.31,11.382,-224.28,263.15,487.43,300,0.12669,0.18168
hydrogen,2.714,149.64,14.507,-226.9,285.64,512.54,300,0.12663,0.19373
hydrogen,3.5057,121.52,24.672,-117.3,148.56,265.86,300,0.12494,0.18113
hydrogen,3.8569,132.41,22.573,-104.87,141.85,246.72,300,0.1255,0.18614
hydrogen,2.3984,140.72,23.474,-276.55,332.92,609.47,300,0.12501,0.19082
hydrogen,3.3375,136.12,15.156,-136.7,183.11,319.81,300,0.12654,0.18693
hydrogen,3.0707,117.49,14.109,-138.05,171.65,309.7,300,0.12609,0.17784
hydrogen,2.0209,134.69,13.704,-343.3,399.81,743.11,300,0.12606,0.18655
hydrogen,3.9033,141.66,16.007,-107.14,147.47,254.61,300,0.1269,0.18945
hydrogen,3.5789,100.9,19.505,-90.252,112.97,203.222,300,0.12505,0.1705
hydrogen,2.0651,118.49,23.091,-296.87,343.8,640.67,300,0.12463,0.17979
nitrogen,2.307,101.43,19.644,-68.995,81.973,150.968,300,0.066391,0.093038
nitrogen,2.9246,102.93,18.526,-44.949,54.173,99.122,300,0.066595,0.093266
nitrogen,3.0051,138.69,24.424,-59.674,77.58,137.254,300,0.066639,0.10349
nitrogen,2.6875,122.57,24.043,-64.421,80.361,144.782,300,0.066454,0.099036
nitrogen,3.7812,139.26,16.39,-37.645,50.014,87.659,300,0.067535,0.10276
nitrogen,2.9573,104.27,22.107,-45.005,54.687,99.692,300,0.066432,0.093818
nitrogen,3.8345,106.1,18.823,-27.547,34.382,61.929,300,0.066846,0.093927
nitrogen,3.9961,111.12,22.613,-26.11,35.184,61.294,300,0.066707,0.095506
nitrogen,3.3812,106.77,16.7,-34.462,43.949,78.411,300,0.066895,0.094063
nitrogen,2.2835,111.46,17.021,-77.479,92.968,170.447,300,0.066624,0.095663
nitrogen,2.7724,107.75,16.007,-51.55,62.779,114.329,300,0.066788,0.094443
nitrogen,3.4982,125.52,15.599,-37.448,51.402,88.85,300,0.067312,0.099018
nitrogen,2.4438,114.62,21.721,-71.34,86.741,158.081,300,0.066439,0.096765
nitrogen,3.207,142.95,15,-51.664,70.565,122.229,300,0.067526,0.10381
nitrogen,2.8144,124.49,20.174,-59.882,74.429,134.311,300,0.066689,0.099346
nitrogen,2.1769,148.44,21.099,-117.75,148.07,265.82,300,0.066694,0.10622
nitrogen,2.2102,120.16,19.316,-90.033,109.12,199.153,300,0.066556,0.098227
nitrogen,2.6343,109.14,24.688,-58.895,71.915,130.81,300,0.066316,0.095326
nitrogen,3.6452,146.25,23.001,-43.666,58.468,102.134,300,0.066965,0.10535
nitrogen,2.5767,137.08,20.384,-78.958,98.642,177.6,300,0.066734,0.10292
nitrogen,2.8839,133.41,16.923,-61.175,76.936,138.111,300,0.067051,0.10154
nitrogen,3.1332,143.77,20.784,-57.661,74.074,131.735,300,0.066932,0.10466
nitrogen,3.6809,128.14,20.736,-35.727,48.896,84.623,300,0.066932,0.10016
nitrogen,3.4135,113.03,19.925,-37.034,46.402,83.436,300,0.066742,0.096012
nitrogen,3.1793,129.88,22.405,-50.251,63.344,113.595,300,0.066707,0.10089
nitrogen,2.1093,131.01,21.837,-108.57,133.52,242.09,300,0.0665,0.1014
nitrogen,3.2583,116.04,22.809,-42.036,52.756,94.792,300,0.066574,0.097048
nitrogen,2.5049,147.42,15.273,-87.79,112.66,200.45,300,0.067256,0.10535
nitrogen,3.7443,119.89,17.829,-32.548,42.163,74.711,300,0.067083,0.097638
nitrogen,2.452,126.31,15.921,-77.645,95.552,173.197,300,0.06692,0.099622
nitrogen,2.714,149.64,18.005,-77.805,100.76,178.565,300,0.067076,0.10619
nitrogen,3.5057,121.52,24.781,-38.127,49.646,87.773,300,0.06659,0.098608
nitrogen,3.8569,132.41,23.382,-34.081,47.148,81.229,300,0.066857,0.10147
nitrogen,2.3984,140.72,23.982,-93.173,117.46,210.633,300,0.066539,0.10416
nitrogen,3.3375,136.12,18.437,-46.136,62.465,108.601,300,0.067097,0.10228
nitrogen,3.0707,117.49,17.74,-46.707,59.067,105.774,300,0.066851,0.097174
nitrogen,2.0209,134.69,17.47,-119.8,147.07,266.87,300,0.066766,0.10217
nitrogen,3.9033,141.66,19.005,-34.921,50.366,85.287,300,0.067318,0.10367
nitrogen,3.5789,100.9,21.337,-29.51,37.484,66.994,300,0.066567,0.092721
nitrogen,2.0651,118.49,23.727,-101.22,122.49,223.71,300,0.066329,0.097978
air,1.8838,102.87,16.965,-105.27,124.23,229.5,300,0.068087,0.096046
air,2.6557,105.86,15.289,-57.458,69.364,126.822,300,0.068431,0.096602
air,2.7564,177.37,24.136,-98.123,131.68,229.803,300,0.068551,0.1175
air,2.3594,145.13,23.565,-104.36,132.19,236.55,300,0.06821,0.10835
air,3.7265,178.52,12.084,-45.975,79.519,125.494,300,0.070839,0.11566
air,2.6967,108.55,20.66,-58.153,71.507,129.66,300,0.068104,0.097717
air,3.7932,112.2,15.735,-29.248,40.838,70.086,300,0.068864,0.098052
air,3.9952,122.24,21.419,-30.121,42.08,72.201,300,0.068553,0.10132
air,3.2265,113.54,12.55,-40.566,53.742,94.308,300,0.069107,0.0982
air,1.8544,122.93,13.032,-129.71,155.85,285.56,300,0.068644,0.10137
air,2.4655,115.5,11.51,-70.751,86.165,156.916,300,0.068984,0.098875
air,3.3728,151.04,10.899,-47.738,73.431,121.169,300,0.070347,0.10803
air,2.0548,129.23,20.081,-117.07,143.69,260.76,300,0.068189,0.10369
air,3.0087,185.89,10,-76.141,116.45,192.591,300,0.071174,0.11746
air,2.518,148.97,17.76,-93.465,120.25,213.715,300,0.068676,0.10902
air,1.7212,196.89,19.149,-260.76,334.99,595.75,300,0.06879,0.12287
air,1.7628,140.33,16.475,-167.75,205.06,372.81,300,0.06848,0.10663
air,2.2929,118.28,24.533,-87.777,106.87,194.647,300,0.067947,0.10073
air,3.5565,192.49,22.001,-63.803,95.225,159.028,300,0.069167,0.12136
air,2.2208,174.16,18.076,-142.39,183.17,325.56,300,0.068812,0.11626
air,2.6049,166.82,12.885,-96.711,128.79,225.501,300,0.06963,0.11331
air,2.9165,187.54,18.677,-91.762,127.54,219.302,300,0.069177,0.11986
air,3.6011,156.29,18.604,-48.625,69.163,117.788,300,0.069105,0.11078
air,3.2669,126.05,17.387,-46.467,61.215,107.682,300,0.068699,0.10228
air,2.9742,159.76,21.108,-75.443,98.68,174.123,300,0.068668,0.11222
air,1.6366,162.02,20.256,-227.76,283.91,511.67,300,0.068392,0.11306
air,3.0728,132.09,21.714,-56.456,73.25,129.706,300,0.068375,0.10438
air,2.1312,194.83,10.41,-168.1,216,384.1,300,0.070448,0.12069
air,3.6804,139.77,14.243,-38.488,57.67,96.158,300,0.069508,0.10553
air,2.0649,152.63,11.382,-134.39,168.34,302.73,300,0.069429,0.10931
air,2.3925,199.28,14.507,-142.2,190.55,332.75,300,0.069663,0.12279
air,3.3822,143.03,24.672,-51.386,69.161,120.547,300,0.068396,0.10758
air,3.8211,164.82,22.573,-46.148,68.026,114.174,300,0.068911,0.11349
air,1.998,181.43,23.474,-182.75,236.51,419.26,300,0.068421,0.11876
air,3.1719,172.24,15.156,-70.847,95.159,166.006,300,0.069608,0.11496
air,2.8384,134.97,14.109,-66.004,83.364,149.368,300,0.069047,0.10455
air,1.5261,169.38,13.704,-264.61,328.55,593.16,300,0.069053,0.11453
air,3.8791,183.32,16.007,-51.117,72.897,124.014,300,0.070047,0.11783
air,3.4736,101.8,19.505,-32.848,42,74.848,300,0.068286,0.095565
air,1.5814,136.97,23.091,-200.84,244.33,445.17,300,0.068051,0.10607
