name,H,DeltaT,L,lambda,T0,Up,Ut
air,1.8838,102.87,16.965,0.08205,300,-0.10793,0.21528
air,2.6557,105.86,15.289,0.082517,300,-0.13355,0.26699
air,2.7564,177.37,24.136,0.09302,300,-0.14627,0.2926
air,2.3594,145.13,23.565,0.088259,300,-0.11665,0.23285
air,3.7265,178.52,12.084,0.093473,300,-0.32147,0.64487
air,2.6967,108.55,20.66,0.082889,300,-0.099968,0.20017
air,3.7932,112.2,15.735,0.083488,300,-0.14548,0.29205
air,3.9952,122.24,21.419,0.084934,300,-0.11655,0.23361
air,3.2265,113.54,12.55,0.083703,300,-0.18347,0.36769
air,1.8544,122.93,13.032,0.085015,300,-0.17255,0.34387
air,2.4655,115.5,11.51,0.083965,300,-0.19593,0.39204
air,3.3728,151.04,10.899,0.089351,300,-0.29416,0.58887
air,2.0548,129.23,20.081,0.08592,300,-0.11806,0.23513
air,3.0087,185.89,10,0.094581,300,-0.39865,0.79892
air,2.518,148.97,17.76,0.088855,300,-0.16377,0.32682
air,1.7212,196.89,19.149,0.095888,300,-0.18749,0.37261
air,1.7628,140.33,16.475,0.087557,300,-0.15293,0.30455
air,2.2929,118.28,24.533,0.084306,300,-0.08881,0.17769
air,3.5565,192.49,22.001,0.095309,300,-0.18463,0.37
air,2.2208,174.16,18.076,0.092558,300,-0.18588,0.37031
air,2.6049,166.82,12.885,0.091565,300,-0.26211,0.52444
air,2.9165,187.54,18.677,0.094572,300,-0.2057,0.41174
air,3.6011,156.29,18.604,0.08998,300,-0.17424,0.34995
air,3.2669,126.05,17.387,0.085503,300,-0.1457,0.29196
air,2.9742,159.76,21.108,0.090444,300,-0.15201,0.30411
air,1.6366,162.02,20.256,0.090737,300,-0.14088,0.28005
air,3.0728,132.09,21.714,0.086361,300,-0.12018,0.24083
air,2.1312,194.83,10.41,0.095753,300,-0.37639,0.74959
air,3.6804,139.77,14.243,0.087599,300,-0.2052,0.41139
air,2.0649,152.63,11.382,0.089439,300,-0.26001,0.51665
air,2.3925,199.28,14.507,0.096334,300,-0.27612,0.55238
air,3.3822,143.03,24.672,0.087968,300,-0.11671,0.23379
air,3.8211,164.82,22.573,0.091216,300,-0.15274,0.30603
air,1.998,181.43,23.474,0.0936,300,-0.14443,0.28691
air,3.1719,172.24,15.156,0.092374,300,-0.23736,0.47432
air,2.8384,134.97,14.109,0.086836,300,-0.19168,0.38328
air,1.5261,169.38,13.704,0.091851,300,-0.22006,0.43544
air,3.8791,183.32,16.007,0.09407,300,-0.24748,0.49587
air,3.4736,101.8,19.505,0.081919,300,-0.10332,0.20696
air,1.5814,136.97,23.091,0.087045,300,-0.1012,0.20182
