,Name,Stellar Mass,Stellar Radius,Planet Mass,Planet Radius,Orbital Radius,Orbital Period
0,MERCURY,1.9890000000000002e+30,696300000.0,3.3e+23,2439500.0,57900000000.0,7603200.0
1,VENUS,1.9890000000000002e+30,696300000.0,4.87e+24,6052000.0,108200000000.0,19414079.999999996
2,EARTH,1.9890000000000002e+30,696300000.0,5.969999999999999e+24,6378000.0,149600000000.0,31553279.999999996
3,MOON,1.9890000000000002e+30,696300000.0,7.3e+22,1737500.0,384000000.0,2358720.0
4,MARS,1.9890000000000002e+30,696300000.0,6.42e+23,3396000.0,228000000000.0,59356800.0
5,JUPITER,1.9890000000000002e+30,696300000.0,1.898e+27,71492000.0,778500000000.0,374198400.0
6,SATURN,1.9890000000000002e+30,696300000.0,5.68e+26,60268000.0,1432000000000.0,928540800.0
7,URANUS,1.9890000000000002e+30,696300000.0,8.68e+25,25559000.0,2867000000000.0,2642889600.0
8,NEPTUNE,1.9890000000000002e+30,696300000.0,1.0199999999999999e+26,24764000.0,4515000000000.0,5166720000.0
9,PLUTO,1.9890000000000002e+30,696300000.0,1.3e+22,1188000.0,5906400000000.0,7824384000.0
10,TRAPPIST-1 b,1.7861220000000002e+30,82998960.0,8.20278e+24,7943518.368000002,1726384000.0,130535.36640000001
11,TRAPPIST-1 c,1.7861220000000002e+30,82998960.0,7.80876e+24,7675342.602,2363680000.0,209255.35679999998
12,TRAPPIST-1 d,1.7861220000000002e+30,82998960.0,2.31636e+24,3960380.832000001,3331592000.0,349852.5216
13,TRAPPIST-1 e,1.7861220000000002e+30,82998960.0,4.131239999999999e+24,5398339.2,4375800000.0,527127.5231999999
14,TRAPPIST-1 f,1.7861220000000002e+30,82998960.0,6.202829999999999e+24,6964935.449999999,5758104000.0,795531.4559999999
15,TRAPPIST-1 g,1.7861220000000002e+30,82998960.0,7.88637e+24,8129660.2979999995,7005767999.999999,1067251.3344
16,TRAPPIST-1 h,1.7861220000000002e+30,82998960.0,1.94622e+24,3635619.45,9258744000.0,1621975.6224
17,KOI-351 b,2.2038120000000004e+30,868794399.0,,10945285.8,11070400000.0,605504.2464000001
18,KOI-351 c,2.2038120000000004e+30,868794399.0,,9031885.8,13314400000.0,753354.0
19,Kepler-90 i,2.2038120000000004e+30,868794399.0,,11113027.200000003,17972657411.28,1248403.968
20,KOI-351 d,2.2038120000000004e+30,868794399.0,,52534948.2,47872000000.0,5161248.288
21,KOI-351 e,2.2038120000000004e+30,868794399.0,,45128176.800000004,62831999999.99999,7943540.832000001
22,KOI-351 f,2.2038120000000004e+30,868794399.0,,52901683.2,71808000000.0,10792604.16
23,KOI-351 g,2.2038120000000004e+30,868794399.0,,418460579.99999994,106216000000.0,18196442.207999997
24,KOI-351 h,2.2038120000000004e+30,868794399.0,,814406820.0000002,151096000000.0,28650290.976
25,GJ 667 C b,6.5637e+29,,3.3431999999999994e+25,,7544477600.0,622339.2000000001
26,GJ 667 C c,6.5637e+29,,2.2685999999999994e+25,,18700000000.0,2431296.0
27,GJ 667 C f,6.5637e+29,,1.6119e+25,,23337600000.0,3371846.4
28,GJ 667 C e,6.5637e+29,,1.6119e+25,,31864800000.0,5377536.0
29,GJ 667 C g,6.5637e+29,,2.7461999999999997e+25,,82130400000.00002,22135679.999999996
