,Name,Mass,Diameter,Density,Gravity,Escape Velocity,Rotation Period,Length of Day,Distance from Sun,Perihelion,Aphelion,Orbital Period,Orbital Velocity
0,MERCURY,3.3e+23,4879000.0,5429,3.7,4300.0,5067360.0,15201360.000000002,57900000000.0,46000000000.0,69800000000.0,7603200.0,47400.0
1,VENUS,4.87e+24,12104000.0,5243,8.9,10400.0,-20997000.0,10087200.0,108200000000.0,107500000000.0,108900000000.0,19414079.999999996,35000.0
2,EARTH,5.969999999999999e+24,12756000.0,5514,9.8,11200.0,86040.0,86400.0,149600000000.0,147100000000.0,152100000000.0,31553279.999999996,29800.0
3,MOON,7.3e+22,3475000.0,3340,1.6,2400.0,2360520.0,2551320.0,384000000.0,363000000.0,406000000.0,2358720.0,1000.0
4,MARS,6.42e+23,6792000.0,3934,3.7,5000.0,88560.0,88920.0,228000000000.0,206700000000.0,249300000000.0,59356800.0,24100.0
5,JUPITER,1.898e+27,142984000.0,1326,23.1,59500.0,35640.0,35640.0,778500000000.0,740600000000.0,816400000000.0,374198400.0,13100.0
6,SATURN,5.68e+26,120536000.0,687,9.0,35500.0,38520.0,38520.0,1432000000000.0,1357600000000.0,1506500000000.0,928540800.0,9700.0
7,URANUS,8.68e+25,51118000.0,1270,8.7,21300.0,-61920.0,61920.0,2867000000000.0,2732700000000.0,3001400000000.0,2642889600.0,6800.0
8,NEPTUNE,1.0199999999999999e+26,49528000.0,1638,11.0,23500.0,57960.00000000001,57960.00000000001,4515000000000.0,4471100000000.0,4558900000000.0,5166720000.0,5400.0
9,PLUTO,1.3e+22,2376000.0,1850,0.7,1300.0,-551880.0,551880.0,5906400000000.0,4436800000000.0,7375900000000.0,7824384000.0,4700.0
